manifesto_id,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,id,text
31110_201706,31110,201706,french,MARPOR,FALSE,TRUE,FALSE,7d21b49d49e11cc3c654f4217d0aed94,/down/originals/2017-2/31110_2017.pdf,4d14d2a5c5ce151171a69e627ef9923b,TRUE,5,NA,Présentation des premières mesures des écologistes pour l’élection présidentielle 2017,31110_201706,"Il y a urgence car notre pays est au bord de la rupture.
Il est pris d’une inquiétante tentation du vide –ou du pire.
Il glisse vers le repli nationaliste et le rétrécissement identitaire, le rejet et la haine de l’autre.
Le débat politique lui-même s’affaisse, surjouant les simplifications, forgeant des boucs émissaires pour justifier tous les renoncements.
La France souffre de ne plus avoir de projet partagé collectivement.
Cela dégénère en un sauve-qui-peut généralisé qui pourrait très mal finir.
Malgré les discours et les tentatives trop frileuses, les gouvernements qui se succèdent nient la réalité qui nous percute brutalement:
notre modèle de développement remet en cause les conditions mêmes de vie et de survie sur la planète.
Il provoque bouleversements climatiques, nouvelle extinction de masse des espèces vivantes, épuisement des ressources et explosion des maladies liées à l’environnement.
Il maltraite les animaux comme nous nous maltraitons nousmêmes.
Il génère une concentration des richesses sans précédent, avec pour corollaire l’aggravation des inégalités, le chômage, la précarité et les maladies psychosociales.
Rentiers de ce vieux monde, les dirigeants politiques de droite comme, trop souvent, de gauche, ne veulent rien lâcher.
À vouloir sauver leur passé, ils sacrifient notre futur.
Les Français sont en état de légitime défiance.
Pourtant, rien n’est encore joué.
Les Françaises et les Français peuvent décider d’un tout autre scénario et s’offrir un avenir qui nous fasse du bien.
Partout dans notre pays, en ville et à la campagne, dans les associations, les entreprises, les centres de recherche et les institutions, une multitude d’initiatives et d’expériences apportent déjà des réponses aux défis auxquels nous sommes confrontés, construisent aujourd’hui le monde de demain, inventent un vivre et un faire ensemble qui répare la société, prend soin des femmes, des hommes et de la nature, tisse de nouvelles solidarités et revitalise la démocratie.
Le projet que nous portons est immense et exaltant:
réformer les institutions pour déverrouiller la démocratie,
casser les rentes pour libérer l’économie,
dépasser les conservatismes et les corporatismes pour débloquer la société.
Bref, faire sauter les digues qui empêchent cette révolution silencieuse d’irriguer la société, enrichir la démocratie partout où elle peut être efficace, là où elle permet de retrouver notre dignité, la maîtrise de nos vies et les leviers du changement.
Notre projet est un vote d’adhésion et d’espoir, c’est un vote d’action et de réconciliation avec la politique et l’action publique.
Un vote qui tourne la page du vote par défaut, du vote de colère ou de renoncement.
Notre projet, c’est « la France Vive ».
Il est constructif et positif, bienveillant et exigeant, pragmatique et visionnaire: l’écologie se met au service de la France tout entière.
La grandeur de la France et sa place dans le monde occupent tous les esprits.
Le sujet de sa vie et de sa survie est encore plus prépondérant.
La France Vive est un appel à la vie, un appel à ce qu’il y a de plus fondamental pour toutes et tous.
La France Vive, c’est la France en vie.
Le pire ennemi de notre société est devenu l’immobilisme.
La politique doit cesser de cultiver le passé –et de le financer: la France n’est pas un musée!
Les politiques publiques qui détruisent les emplois, abîment l’environnement et notre santé, c’est terminé!
Face aux insécurités anciennes et nouvelles, nous créerons de nouvelles sécurités, individuelles et collectives.
La France Vive est une célébration des forces vives de notre pays et de la vivacité de chacun au bénéfice de toutes et tous.
Une France généreuse et ouverte,
une France de la création et de l’innovation.
C’est la France de demain, celle que nous lèguerons à nos enfants.
Une France qui libère l’énergie de la jeunesse,
l’entrepreneuriat et l’initiative.
Une France qui redonne vie à l’Europe
et contribue à l’épanouissement du monde.
« Vive la France» est la phrase qui conclut tous les discours politiques.
« La France Vive» n’est pas une conclusion, c’est le point de départ d’une nouvelle page de notre histoire.
La France Vive, c’est la France 100% durable
Aller vers une France sans carbone ni nucléaire, avec 100% d’énergies renouvelables en 2050 et zéro déchet en 2030.
·               Adopter une loi de sortie progressive et définitive du nucléaire d’ici 2035, arrêter les premiers réacteurs dès 2017.
·               Les objectifs en matière d’énergies renouvelables seront respectés pour 2020 (23% du mix énergétique) et rehaussés à 40% pour 2030.
·                Le cadre administratif et législatif sera simplifié et stabilisé.
·                Les objectifs de réduction des gaz à effet de serre seront portés à 30% pour 2020 et au moins 50% pour 2030 par rapport à 1990 afin de mettre en œuvre l’Accord de Paris sur le climat.
·               Favoriser l’appropriation citoyenne locale de la transition énergétique.
o       1 projet de production d’énergies renouvelables par quartier ou commune rurale.
o       Les projets de propriété collective seront accompagnés par des opérateurs coopératifs certifiés et rémunérés par l’État qui garantira les emprunts.
o       25% des parts sociales des projets d’énergies renouvelables devront être proposées aux citoyens locaux.
·               Lutter contre le gaspillage et éradiquer les passoires énergétiques.
o       Aller vers 750 000 logements par an rénovés d’ici la fin du quinquennat, en donnant la priorité aux ménages victimes de précarité énergétique.
·               Favoriser l’économie circulaire et lutter contre l’obsolescence programmée des produits.
o       5 ans de garantie minimale pour l’électroménager et les voitures.
o       Moduler la TVA selon l’éco-conception, la réparabilité, la réutilisation et le recyclage d’un produit.
o       Créer un Crédit d’impôt réparation permettant de rembourser 50% des frais de main d’oeuvre.
o       Créer une filière de déconstruction des navires en fin de vie et de traitement des déchets électroniques.
·               Aller vers une France zéro déchet en divisant par 2 notre production de déchets par habitant à l’horizon 2030.
o       Mettre en place un plan national de lutte contre le gaspillage alimentaire dans les cantines.
o       Rendre obligatoire la redistribution des invendus de la grande distribution vers les associations de solidarité, et l’élevage pour les déchets très périmés.
o       Valoriser énergétiquement les fermentescibles en généralisant la méthanisation.
o       Développer le compostage collectif dans les zones d’habitat dense.
o       Introduire un critère « zéro déchet » dans les marchés publics.
·               Développer les réseaux de transports du quotidien.
o       Engager une révision complète du schéma national des infrastructures.
o       Abandonner les grands projets inutiles: nouvelles lignes à grande vitesse, tunnel Lyon-Turin, aéroport de Notre-Damedes-Landes, Grand Contournement Ouest de Strasbourg, etc.
o       Restaurer la taxe poids lourds pour donner l’absolue priorité aux trajets domicile-travail et domicile-vie quotidienne.
La France Vive, c’est la France qui préserve le vivant.
Protéger toutes les espèces vivantes, c’est aussi nous protéger nous-mêmes, notre santé et celles de nos enfants.
·               Faire de la santé une priorité nationale.
o       Réorienter notre système de santé vers la prévention et la proximité, lutter en amont contre les maladies chroniques, réaffirmer la primauté de la sécurité sociale vis-à-vis des complémentaires.
o       En finir avec les déserts médicaux, en soutenant l’installation des médecins dans des maisons de santé adossées à des unités de base des premiers soins.
o       Renforcer le service public de la psychiatrie.
·               Préserver notre santé en luttant contre les pollutions.
o       Interdire le glyphosate et les perturbateurs endocriniens.
o       Sortir du diesel.
o       Contrôler strictement l’homologation des nanotechnologies.
·               Protéger notre biodiversité.
o       Vers une France zéro pesticide en 2030, avec 50% de réduction des pesticides sur le quinquennat.
o       Multiplier par 4 la surface cultivée en bio en 5 ans pour la porter à 20% de la surface agricole utile.
o       Lutter contre l’artificialisation des sols : espaces naturels et agricoles, et espaces péri-urbains.
o       Renforcer les mesures de protection de la biodiversité là où elle est particulièrement riche et menacée, notamment dans les territoires ultra-marins et les océans.
o        Renforcer la Loi littoral.
·               Garantir une alimentation saine.
o       Approvisionner 100% des cantines publiques et privées par l’agriculture paysanne ou biologique : écoles, hôpitaux, entreprises, etc.
o       → Affecter 50% des fonds de la PAC pour financer la conversion des exploitations et la structuration des filières.
·               12 Lutter contre la souffrance animale.
o       → Interdire l’élevage industriel de type « 1000 vaches ».
o       → Mettre en application les 65 préconisations avancées par le rapport de la commission d’enquête sur les conditions d’abattage.
·               13 Créer un label valorisant la pêche artisanale française pour les consommateurs, renforcer la lutte contre la pêche illégale, en particulier dans les zones ultra-marines.
·               14 Lutter contre la publicité à destination des jeunes.
o       → Interdire la publicité télévisée destinée aux enfants et supprimer les publicités sur tous les supports lors des programmes jeunesse.
La France Vive, c’est la France qui protege ses forces vives
Garantir les droits, reconnaître la dignité de chacune et de chacun, libérer les énergies et accompagner les talents.
·               15 Les jeunes sont des adultes comme les autres.
o       → Rendre le RSA accessible pour les 18-25 ans.
·               16 Faire de l’immobilier universitaire un levier de la transition écologique par le développement d’éco-campus.
o       → Plan général de rénovation du bâti universitaire avec 70 000 rénovations et 50 000 nouvelles chambres écoconçues,
o       alimentation bio et locale dans les cantines, centres de santé, etc.
·               17 Lutter contre la précarité et favoriser l’autonomie.
o       → Généraliser l’encadrement des loyers dans les zones tendues.
o       → Instaurer la garantie universelle des loyers.
·               18 Revaloriser le SMIC à 1800 euros bruts dans la mandature.
·               19 Favoriser la réduction du temps de travail, sur la semaine ou sur plusieurs années.
·               20 Assurer à tou-te-s un revenu d’existence.
o       → Expérimenter un revenu de base dont les conditions seront définies lors d’une conférence de consensus suivie d’un débat national.
o        Cette question n’est pas celle des minima sociaux, il faut changer la place du travail et reconnaître l’utilité sociale de chacune et de chacun.
·               21 Lutter contre la souffrance au travail.
o       → Moduler les cotisations accidents du travail et maladies professionnelles avec l’adoption d’un plan pour le bien-être au travail dans les entreprises.
o       → Égalité de chacun devant la retraite: renforcer le compte pénibilité et le porter jusqu’à 7 ans.
o       → Reconnaître le burn-out comme maladie professionnelle.
o       → Généraliser le droit automatique à la déconnexion.
·               22 Garantir à tou-te-s une protection sociale équivalente : l’accès à la retraite, au chômage, à la formation et d’une manière générale à la protection sociale des travailleurs indépendants et des auto-entrepreneurs sera assuré.
·               23 Lutter contre le décrochage et l’échec scolaire.
o       → Offrir des moyens supplémentaires, comme le travail en plus petit effectif, aux élèves qui en ont le plus besoin pour leur réussite.
·               24 Remplacer obligatoirement les enseignants après 3 jours d’absence.
·               25 Reconnaître toutes les familles.
o       → Ouvrir la PMA à toutes les femmes.
·               26 Aider toutes les familles.
o       → Créer de 400 000 places en crèche.
·               27 Donner le choix à nos aîné-es.
o       → Créer au moins autant de places en EHPAD public qu’en établissements privés sur chaque territoire.
·               28 Renforcer le droit de mourir dans la dignité et à choisir sa fin de vie.
·               29 Faire une France accessible aux personnes en situation de handicap.
o       → Garantir l’accessibilité de tous les services publics en créant une Agence nationale de l’accessibilité universelle.
·               30 La culture pour tous.
→ Dédier 1% du budget de l’État à la Culture.
·               31 Pérenniser le système de protection des intermittents, et créer un fonds de protection pour les artistes plasticiens.
·               32 Soutenir les politiques locales facilitant l’expression des énergies créatives dans les territoires: incubateurs culturels, lieux tiers dédiés aux expérimentations artistiques et aux rencontres non marchandes avec les publics, dispositifs de mutualisation et de coopération en faveur des nouveaux projets et artistes, etc.
·               33 L’égalité doit primer sur l’identité, la citoyenneté sur la nationalité.
o       → Mettre en place le récépissé lors des contrôles au faciès.
o       → Instaurer le droit de vote des étrangers aux élections locales.
·               34 Faire de l’égalité Femmes-Hommes un impératif.
o       → Rendre publique la liste des entreprises ne respectant pas l’égalité salariale.
·               35 Adopter une loi cadre sur les violences faites aux femmes, intégrant notamment une révision du délai de prescription.
·               36 Renforcer la lutte contre les discriminations de genre.
o       → Renforcer la sensibilisation contre l’homophobie, la lesbophobie et la transphobie.
o       → Former les personnels de la fonction publique à l’accueil des personnes LGBT.
o       → Permettre le changement de sexe libre, gratuit et déclaratif pour les personnes transexuelles.
La France Vive, c’est la France de l’innovation
Une économie et une société de l’innovation et de la sécurité professionnelle, relocalisées sur tous les territoires.
·               37 Négocier des contrats territoriaux de transition écologique de 10 ans entre les collectivités locales, l’État, les entreprises, les syndicats et les organisations de la société civile pour anticiper et favoriser les conversions économiques et industrielles.
o       →Accompagner et former les salariés: aucun travailleur abandonné sur le bord de la route.
·               38 Lancer un Small Business Act.
o       →Réserver 50% des marchés publics aux PMEPMI et aux start-ups qui emploient localement.
·               39 Baser prioritairement le programme de rénovation thermique du bâti sur les PME et l’artisanat local.
·               40 Développer l’économie sociale et solidaire.
o       → Accroître l’ouverture des marchés publics aux entreprises agréées Entreprise Solidaire d’Utilité Sociale.
·               41 Orienter l’épargne vers le capital-risque des entreprises innovantes, ancrées dans la transition écologique et numérique.
·               42 Favoriser la Recherche & Développement.
o       → Mieux cibler les soutiens à l’innovation en simplifiant et plafonnant le crédit impôt recherche.
o       → Privilégier les innovations qui participent à la transition énergétique.
·               43 Inscrire les usages du numérique dans l’ensemble du parcours scolaire, de la maternelle aux études supérieures.
·               44 Créer un ministère de la Transformation numérique dépendant du Premier ministre pour impulser et garantir la transversalité de la mutation à conduire, de l’école à l’entreprise, de la culture aux services publics; garantir la neutralité des réseaux.
·               45 Faire de la formation un droit tout au long de la vie.
o       → Créer un compte individuel de formation crédité de 16 semestres de formation à utiliser à tout moment de sa vie après 16 ans.
·               46 Développer la fiscalité écologique.
o       → En finir avec les niches fiscales nuisibles à l’environnement et la santé (13 milliards d’euros par an), dont la niche diesel.
o       → Affecter la moitié des dépenses économisées à une prime de conversion automobile pour les ménages les plus vulnérables.
·               47 Mettre en place une fiscalité plus juste et plus lisible.
o       → Réformer la fiscalité du patrimoine en tenant compte du patrimoine net.
o       → Fusionner l’impôt sur le revenu avec la CSG et la rendre progressive.
o       → Individualiser l’impôt sur le revenu.
·               48 Renforcer la lutte contre l’évasion fiscale.
o       → Renforcer le droit de la société civile de saisir le parquet national financier pour les cas d’évasions fiscales.
o       → Agir pour le contrôle de la taille des banques et
pour la pénalisation les paradis fiscaux.
La France Vive, c’est la France d’une démocratie vivante
Démocratie représentative, démocratie participative, démocratie sociale: redonner le pouvoir aux citoyens et aux salariés.
·               49 Sortir de la monarchie républicaine.
o       → Une Assemblée de 400 députés, à l’image des Français, élue à la proportionnelle, avec 20% de jeunes de moins de 30 ans.
o       → Développer des votations citoyennes sur des sujets du quotidien, les conférences de consensus et les assemblées citoyennes tirées au sort.
·               50 Créer un fonds pour une démocratie d’initiative citoyenne, financé par un prélèvement de 5% sur les financements de la démocratie représentative: partis politiques, réserves parlementaires, campagnes électorales.
·               51 Adopter le 1% budget participatif.
·               52 Adopter le 3 fois 1% redistributif citoyen.
o       → 1% des bénéfices de l’agroalimentaire pour financer des projets citoyens d’alimentation de qualité relocalisée.
o       → 1% des bénéfices des promoteurs immobiliers pour financer les actions citoyennes en matière d’urbanisme.
o       → 1% des bénéfices du secteur de la publicité pour financer des médias citoyens.
·               53 Inscrire dans la loi la co-gestion des entreprises.
o       → Faire siéger 50% de salariés dans les Conseils d’Administration.
·               54 Modifier la Constitution pour que dans l’article premier soit inscrit « République écologique », afin de constitutionnaliser l’écologie.
·               55 Nommer un vice-Premier ministre au Développement durable pour garantir la prise en compte transversale des enjeux écologiques.
·               56 Faire évoluer le mandat et la composition du Conseil économique, social et environnemental pour en faire une troisième chambre, aux côtés de l’Assemblée nationale et du Sénat, qui aurait un droit de veto suspensif sur toute mesure législative qui mettrait en cause le long terme.
·               57 Renforcer les services publics et les adapter aux nouveaux besoins, notamment ceux de nos aîné-es de plus en plus nombreux.
·               58 Afficher pour chaque service public la part payée par la collectivité.
·               59 Tirer parti de l’extraordinaire réseau que constituent les bureaux de Poste, pour en faire des Maison des services publics.
·               60 Assurer notre sécurité.
o       → Développer une police de proximité pour assurer une présence physique partout, au contact des citoyennes et citoyens.
o       → Renforcer les moyens de la justice afin de lui permettre d’assurer plus rapidement la justice du quotidien : un cas est jugé en 19 jours au Danemark, contre 304 jours en France.
o       → Créer un parquet et un FBI européens afin de lutter de manière plus efficace contre le terrorisme.
o       → Légaliser le cannabis –monopole d’état pour lutter contre le trafic et faciliter une politique de santé.
La France Vive, c’est la France qui redonne vie à L’Europe
L’Europe est notre horizon.
Elle doit devenir un projet politique et démocratique.
·               61 Adopter un plan d’investissement de 600 milliards d’euros par an, financé par la Banque européenne d’investissement et les banques nationales d’investissement, garanti ou racheté par la Banque centrale européenne, avec 4 priorités.
o       → La transition énergétique.
o       → Le numérique.
o       → Les infrastructures de transport du quotidien.
o       → La santé.
·               62 Faire élire en 2019 une assemblée constituante dont le travail se fonde sur des conventions citoyennes régionales et nationales.
·               63 Envoyer chaque année 1 million de jeunes en emploi ou en formation dans un autre pays de l’Union européenne.
·               64 Stopper l’évasion et construire l’harmonisation fiscale, garantir la transparence et imposer le reporting pays par pays pour lutter contre l’évasion fiscale, et que chaque entreprise paie des impôts là où elle gagne de l’argent.
·               65 Renforcer les ratios prudentiels des banques et séparer les activités de banque de détail et de banque de crédit.
·               66 Mettre véritablement en œuvre la Taxe sur les Transactions Financières.
·               67 Interdire en 5 ans sur le marché européen les produits issus de pays ne respectant pas la liberté syndicale et taxer ceux provenant de pays s’exonérant de la lutte contre le dérèglement climatique.
·               68 Stopper les négociations des accords de libre-échange, dont le TAFTA, et la ratification du CETA.
·               69 Refonder la politique commerciale de l’Union pour faire de l’Europe un vecteur de régulation publique de la mondialisation.
o       → Primauté des droits humains, sociaux et de l’environnement sur les droits du commerce et des investisseurs.
·               70 Abandonner la Convention de Dublin et partager équitablement l’accueil et l’intégration des réfugiés dans les pays de l’Union.
·               71 Aller vers une défense européenne commune.
La France Vive, c’est la France qui contribue à un monde de paix et de solidarité
Face aux replis nationalistes, à l’isolationnisme des États-Unis, l’expansionnisme de la Russie et de la Chine, et l’émergence des économies du Sud, défendre un multilatéralisme fondé sur la coopération, la solidarité et la protection des biens communs.
·               72 Réformer le Conseil de sécurité des Nations unies.
o       → Supprimer le droit de veto.
o       → Faire du siège de la France le siège unique de l’Union européenne.
·               73 Accroître l’Aide Publique au Développement à la hauteur de l’engagement international de la France, c’est-à-dire à 0,7% du PNB.
·               74 Prendre l’initiative d’une conférence internationale dont l’objectif sera de sanctuariser l’Arctique.
·               75 Remplacer la stratégie de dissuasion nucléaire par un sanctuaire européen «dénucléarisé», et œuvrer à une diplomatie active en faveur du désarmement nucléaire.
o       → De manière à créer cette dynamique, renoncer de manière unilatérale aux composantes terrestre et aérienne de la force de dissuasion nucléaire.
o       → Affecter l’économie ainsi réalisée à la remise à niveau des moyens des forces conventionnelles.
·               76 Interdire les ventes d’armes aux pays non démocratiques.
·                Construire la France 100% durable, c’est sortir de notre dépendance aux énergies fossiles provenant de la Russie, des pétromonarchies du Golfe et d’autres régimes corrompus et autocratiques au sud de la Méditerranée et en Afrique subsaharienne.
·                C’est promouvoir une politique étrangère forte guidée par les droits humains, la défense de la démocratie et la protection de la planète plutôt qu’une diplomatie complaisante dictée par l’accès aux ressources et les ventes d’armes.
"
31220_201706,31220,201706,french,MARPOR,FALSE,TRUE,FALSE,e68b5739c4308f3457d389ea79e73581,/down/originals/2017-2/31220_2017.pdf,d168a6cd5cdfa373452598d73bd43f56,TRUE,5,NA,Le peuple à l’Assemblée nationale. Élections législatives - 11 & 18 juin,31220_201706,"Le peuple à l’Assemblée nationale
Les élections présidentielles viennent de s’achever avec l’élection d’un nouveau Président de la République, monsieur Macron.
Ce scrutin aura été marqué par une légitime colère devant l’inefficacité des politiques publiques mises en oeuvre depuis des décennies.
Elle aura aussi, malheureusement, entraîné beaucoup trop de nos concitoyens vers des chemins de divisions, de haine, et tout compte fait, de désespérance.
Le PCF en soutenant Jean-Luc Mélenchon, a voulu que cette colère devant la pauvreté, le chômage, les inégalités qui s’accroissent, devant le pillage des ressources naturelles, trouve le chemin, non de la division, mais de l’espoir et du progrès.
A l'occasion des élections législatives, nous avons la possibilité concrétiser cet espoir en élisant un maximum de député-e-s qui s'opposeront fermement à E.Macron, à la droite et à l'extrême droite et qui porteront haut vos luttes et vos espoirs.
LA GAUCHE DEBOUT POUR L'HUMAIN D'ABORD !
M.Macron a d'ores et déjà annoncé son désir de « réformer » le code du travail par ordonnances durant l'été.
Face à ce déni démocratique dôtons nous de député-e-s qui voteront contre la loi lui permettant d'âgir de la sorte.
Donnons nous des députés qui ne se soumettront pas au mépris de la démocratie !
C'est cela que pour les candidat-e-s soutenu-e-s par le PCF.
Nous ne laisserons pas faire.
Nos député-e-s seront aux cotés des jeunes, des femmes, des infirmières, des postiers, des salariés du public et du privé, des agriculteurs, des précaires et chômeurs qui aspirent à ce que leur vie change,
qui aspirent à faire émerger une gauche de combat et de valeur, une gauche qui agit au nom de « l'humain d'abord » !""
Nos 5 axes d'action
Pour faire vivre l'humain d'abord dans notre circonscription, nos candidats agiront pour : 1. La lutte contre les inégalités
et la relance des services publics
Contre les coupures d'eau et d'électricité, les expulsions et les fermetures (bureaux de poste, classes, hôpitaux, gares...) et pour la relance de tous les services publics.
L’emploi et un Code du travail favorable aux salariée-s
Légalité salariale femmes-hommes,
une sécurité de l’emploi et de la formation en lien avec les syndicats,
les PME-TPE,
l’économie sociale et solidaire pour l'emploi local,
une loi anti-dumping social
et un fonds européen de développement social et écologique.
Une nouvelle République et un renouveau de la politique
De nouveaux droits des salariés dans l’entreprise
et la mise en place d'un conseil citoyen de circonscription pour rendre compte de mon mandat et faire les lois avec vous.
L’augmentation des salaires
et la lutte contre la finance
Augmentation des salaires jusqu'à 23%,
abrogation du traité budgétaire européen,
un pôle public bancaire,
lutte contre l’évasion fiscale
et les aides sans contrepartie aux entreprises.
Produire autrement pour l’humain et la planète
Un million d’emplois dans les filières d’avenir,
la maîtrise publique de l’eau et de l’énergie,
favoriser les circuits courts agricoles et des prix rémunérateurs aux producteurs."
